"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"","163205","Flannagan Hydroelectric Project","Flannagan Hydroelectric Project","proposed","Dickenson","Flannagan Hydroelectric Intake","Surface Water Intake","0","","0","0","0","0","0"
"Cloverfield Enterprises","69988","F L DICKINSON FARM(F L DICKINSON FARM)","F L DICKINSON FARM","active","Essex","FARM POND","Surface Water Intake","0","","1","0","0","0","0"
"Cloverfield Enterprises","69988","F L DICKINSON FARM(F L DICKINSON FARM)","F L DICKINSON FARM","active","Essex","Rappahannock River","Surface Water Intake","0","","5","0","0","0","0"
"Fl Edwards Jr/Rebecca Edwards","69127","Surface Water Reporting - [no name]","FL EDWARDS JR/REBECCA EDWARDS","inactive","Isle of Wight","LARGE FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Fl Edwards Jr/Rebecca Edwards","69127","Surface Water Reporting - [no name]","FL EDWARDS JR/REBECCA EDWARDS","inactive","Isle of Wight","SMALL FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"J Galen Beery","70711","FLINT ROCK FARM","FLINT ROCK FARM","active","Rockingham","FARM POND ???????","Surface Water Intake","0","","5","0","0","0","0"
"A Ben Flora","70721","FLORA DAIRY","FLORA DAIRY","inactive","Franklin County","BLACKWATER RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Engel Family Farms","71213","FLOWER DEW HUNDRED(FLOWER DEW HUNDRED)","FLOWER DEW HUNDRED","active","Prince George","JAMES RIVER - FD 16","Surface Water Intake","0","","0","0","0","0","0"
"Engel Family Farms","71213","FLOWER DEW HUNDRED(FLOWER DEW HUNDRED)","FLOWER DEW HUNDRED","active","Prince George","JAMES RIVER - FD 5","Surface Water Intake","0","","0","0","0","0","0"
"Engel Family Farms","71213","FLOWER DEW HUNDRED(FLOWER DEW HUNDRED)","FLOWER DEW HUNDRED","active","Prince George","JAMES RIVER - FD 21","Surface Water Intake","0","","0","0","0","0","0"
"David Harrison Iii","70266","FLOWERDEW HUNDRED FARM","FLOWERDEW HUNDRED FARM","inactive","Prince George","JAMES RIVER","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Floyd (Agriculture)","proposed","Floyd","Floyd (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Floyd A Holley","70965","Surface Water Reporting - [no name]","FLOYD A HOLLEY","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Floyd (Community Water System)","proposed","Floyd","Floyd (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Floyd (Large Self-Supplied User)","proposed","Floyd","Floyd (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Fluvanna (Agriculture)","proposed","Fluvanna","Fluvanna (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Fluvanna (Community Water System)","proposed","Fluvanna","Fluvanna (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Virginia, Commonwealth Of","163251","DOC - Fluvanna Correctional Center for Women","Fluvanna Correctional Center for Women","active","Fluvanna","Mechunk Creek","Surface Water Intake","0","","0","0","0","0","0"
"Virginia, Commonwealth Of","402312","DOC - Fluvanna Correctional Center for Women","Fluvanna Correctional Center for Women","active","Fluvanna","Mechunk Creek","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Fluvanna (Large Self-Supplied User)","proposed","Fluvanna","Fluvanna (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Food Processors Water Cooperative","71443","NORTH FORK SHENANDOAH WTP(INDUSTRIAL & COMMERCIAL)","Food Processors North Fork Shenandoah WTP","active","Rockingham","NORTH FORK SHENANDOAH RIVER","Surface Water Intake","2.132","VWUDS Form","1","393.971","3.33","0","37.01"
"Realtec Incorporated","71016","FORDS COLONY AT WILLIAMSBURG(FORDS COLONY AT WILLIAMSBURG)","FORDS COLONY AT WILLIAMSBURG","active","James City","Marsh Hawk Pond","Surface Water Intake","0","","0","0","0","0","0"
"Realtec Incorporated","71016","FORDS COLONY AT WILLIAMSBURG(FORDS COLONY AT WILLIAMSBURG)","FORDS COLONY AT WILLIAMSBURG","active","James City","Blue Heron Pond","Surface Water Intake","0","","0","0","0","0","0"
"Realtec Incorporated","71016","FORDS COLONY AT WILLIAMSBURG(FORDS COLONY AT WILLIAMSBURG)","FORDS COLONY AT WILLIAMSBURG","active","James City","Black Heath Pond","Surface Water Intake","0","","0","0","0","0","0"
"Forest Park Country Club, Inc","71199","FOREST PARK COUNTRY CLUB, INC.(FOREST PARK COUNTRY CLUB)","FOREST PARK COUNTRY CLUB, INC.","active","Henry","POND","Surface Water Intake","0","","0","3.408","0","0","0.54"
"Forest Park Country Club, Inc","71199","FOREST PARK COUNTRY CLUB, INC.(FOREST PARK COUNTRY CLUB)","FOREST PARK COUNTRY CLUB, INC.","active","Henry","SMITH RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","66843","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","FARM POND #2 (SMALL)","Surface Water Intake","0","","1","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","455323","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","FARM POND #2 (SMALL)","Surface Water Intake","0","","1","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","66843","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","FARM POND  #3","Surface Water Intake","0","","2","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","455323","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","FARM POND  #3","Surface Water Intake","0","","2","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","66843","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","POND NR NOMINI BRIDGE","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","455323","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","POND NR NOMINI BRIDGE","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","66843","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","POND NR BUILDINGS","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","455323","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","POND NR BUILDINGS","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","66843","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","POND  NR RT 621","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","455323","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","POND  NR RT 621","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","66843","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","FARM POND #1 (LARGE)","Surface Water Intake","0","","1","0","0","0","0"
"Virginia Cooperative Crop Improvement Association","455323","Foundation Seed Farm","Foundation Seed Farm","active","Westmoreland","FARM POND #1 (LARGE)","Surface Water Intake","0","","1","0","0","0","0"
"Foundry Golf Club Inc","68983","FOUNDRY GOLF CLUB(FOUNDRY GOLF CLUB)","FOUNDRY GOLF CLUB","active","Powhatan","Irrigation Lake","Surface Water Intake","0","","0","0","0","0","0"
"The Four Winds Club, Inc.","74589","Four Winds Clubhouse & Campground Water System","Four winds Clubhouse and Campground","active","Caroline","LAKE HOLIDAY","Surface Water Intake","0","","5","5","0","0","2"
"W Trent Fox","69149","Foxhill Farms(FOXHILL FARM INC)","Foxhill Farms","active","Southampton","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Lowell D Heatwole","69452","FOX RUN FARMS, LLC.","FOX RUN FARMS, LLC.","active","Augusta","NORTH RIVER","Surface Water Intake","0","","1","1.901","0","0","1.358"
"Frank Elko","69271","Surface Water Reporting - [no name]","FRANK ELKO","inactive","Chesterfield","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Frank J Etz Iii","69081","Surface Water Reporting - [no name]","FRANK J ETZ III","inactive","Northampton","MILFORD POND","Surface Water Intake","0","","0","0","0","0","0"
"Frank J Etz Iii","69081","Surface Water Reporting - [no name]","FRANK J ETZ III","inactive","Northampton","ETZ POND","Surface Water Intake","0","","0","0","0","0","0"
"Frank J Etz Iii","69081","Surface Water Reporting - [no name]","FRANK J ETZ III","inactive","Northampton","O'CONNER POND","Surface Water Intake","0","","0","0","0","0","0"
"Frank L Bailey","70791","Surface Water Reporting - [no name]","FRANK L BAILEY","inactive","Lunenburg","FARM POND 2","Surface Water Intake","0","","0","0","0","0","0"
"Frank L Bailey","70791","Surface Water Reporting - [no name]","FRANK L BAILEY","inactive","Lunenburg","FARM POND 4","Surface Water Intake","0","","0","0","0","0","0"
"Frank L Bailey","70791","Surface Water Reporting - [no name]","FRANK L BAILEY","inactive","Lunenburg","FARM POND 3","Surface Water Intake","0","","0","0","0","0","0"
"Frank L Bailey","70791","Surface Water Reporting - [no name]","FRANK L BAILEY","inactive","Lunenburg","FARM POND 5","Surface Water Intake","0","","0","0","0","0","0"
"Frank L Bailey","70791","Surface Water Reporting - [no name]","FRANK L BAILEY","inactive","Lunenburg","FARM POND 1","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Franklin City (Agriculture)","proposed","Franklin City","Franklin City (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Franklin City (Community Water System)","proposed","Franklin City","Franklin City (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Franklin City (Large Self-Supplied User)","proposed","Franklin City","Franklin City (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Franklin County (Agriculture)","proposed","Franklin County","Franklin County (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Franklin County (Community Water System)","proposed","Franklin County","Franklin County (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Franklin County (Large Self-Supplied User)","proposed","Franklin County","Franklin County (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"International Paper Company","66372","International Paper - Franklin Mill","Franklin Virginia Mill","active","Isle of Wight","BLACKWATER RIVER","Surface Water Intake","7.2","VWUDS Form","1","1043.575","0","0","110.94"
"Freddie M Cox","69140","Surface Water Reporting - [no name]","FREDDIE M COX","active","Roanoke County","GLADE CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Freddie M Cox","69140","Surface Water Reporting - [no name]","FREDDIE M COX","active","Roanoke County","GLADE CREEK","Surface Water Intake","0","","4","0","0","0","0"
"","0","","Frederick (Agriculture)","proposed","Frederick","Frederick (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Frederick (Community Water System)","proposed","Frederick","Frederick (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Frederick County Sanitation Authority","163174","Blue Spring Water Withdrawal","FREDERICK COUNTY SANITATION AUTHORITY","active","Frederick","STEPHENS CITY QUARRIES","Surface Water Intake","0","","2","0","6.48","0","0"
"Frederick County Sanitation Authority","163178","Sempeles Spring Water Withdrawal","FREDERICK COUNTY SANITATION AUTHORITY","active","Frederick","STEPHENS CITY QUARRIES","Surface Water Intake","0","","2","0","6.48","0","0"
"Frederick County Sanitation Authority","163181","Vaucluse Spring Water Withdrawal","FREDERICK COUNTY SANITATION AUTHORITY","active","Frederick","STEPHENS CITY QUARRIES","Surface Water Intake","0","","2","0","6.48","0","0"
"Frederick County Sanitation Authority","163174","Blue Spring Water Withdrawal","FREDERICK COUNTY SANITATION AUTHORITY","active","Frederick","CLEARBROOK QUARRIES","Surface Water Intake","0","","2","0","6.48","0","0"
"Frederick County Sanitation Authority","163178","Sempeles Spring Water Withdrawal","FREDERICK COUNTY SANITATION AUTHORITY","active","Frederick","CLEARBROOK QUARRIES","Surface Water Intake","0","","2","0","6.48","0","0"
"Frederick County Sanitation Authority","163181","Vaucluse Spring Water Withdrawal","FREDERICK COUNTY SANITATION AUTHORITY","active","Frederick","CLEARBROOK QUARRIES","Surface Water Intake","0","","2","0","6.48","0","0"
"","0","","Frederick (Large Self-Supplied User)","proposed","Frederick","Frederick (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Fredericksburg (Agriculture)","proposed","Fredericksburg","Fredericksburg (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Fredericksburg (Community Water System)","proposed","Fredericksburg","Fredericksburg (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Fredericksburg Country Club","69932","FREDERICKSBURG COUNTRY CLUB(FREDERICKSBURG COUNTRY CLUB)","FREDERICKSBURG COUNTRY CLUB","active","Spotsylvania","POND","Surface Water Intake","1.5","VWUDS Form","1","17.199","0","0","4.608"
"","0","","Fredericksburg (Large Self-Supplied User)","proposed","Fredericksburg","Fredericksburg (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Gm Powertrain Group","69067","FREDERICKSBURG PLANT(FREDERICKSBURG PLANT)","FREDERICKSBURG PLANT","inactive","Spotsylvania","RAPPAHANNOCK RIVER","Surface Water Intake","0","","1","44.196","0","0","4.898"
"Ennstone Inc","69396","FREDERICKSBURG PLANT(FREDERICKSBURG SAND & GRAVEL)","FREDERICKSBURG PLANT","inactive","Stafford","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","249.6","0","0","47.4"
"Fredericksburg, City Of","69935","FREDERICKSBURG WTP(FREDERICKSBURG WTP)","FREDERICKSBURG WTP","inactive","Fredericksburg","MOTTS RUN RESERVIOR","Surface Water Intake","0","","0","0","0","0","0"
"Fredericksburg, City Of","163160","Embrey Dam","FREDERICKSBURG WTP","inactive","Fredericksburg","MOTTS RUN RESERVIOR","Surface Water Intake","0","","0","0","0","0","0"
"Fredericksburg, City Of","69935","FREDERICKSBURG WTP(FREDERICKSBURG WTP)","FREDERICKSBURG WTP","inactive","Fredericksburg","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","1426","0","0","135.1"
"Fredericksburg, City Of","163160","Embrey Dam","FREDERICKSBURG WTP","inactive","Fredericksburg","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","1426","0","0","135.1"
"Fred M Crisman","70696","Surface Water Reporting - [no name]","FRED M CRISMAN","inactive","Shenandoah","NORTH FORK SHENANDOAH RIVER","Surface Water Intake","0","","0","0","0","0","0"
"M Lloyd Weaver Jr","70083","FRIEDENSHEIM","FRIEDENSHEIM","inactive","Powhatan","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Aquenergy Systems, LLC","441593","Fries Hydroelectric Project","Fries Hydroelectric Project","active","Grayson","Intake Canal","Surface Water Intake","0","","0","0","0","0","0"
"Fries, Town Of","69783","FRIES WTP(FRIES SERVICE AREA)","FRIES WTP","active","Grayson","EAGLE BOTTOM CREEK","Surface Water Intake","0.288","VWUDS Form","1","77.635","0","0","7.75"
"Fries, Town Of","69783","FRIES WTP(FRIES SERVICE AREA)","FRIES WTP","active","Grayson","New River-Emergency Source","Surface Water Intake","0","","0","0","0","0","0"
"W A White Jr","70364","FROG HOLLOW SOD FARM INC(FROG HOLLOW SOD FARM INC)","FROG HOLLOW SOD FARM INC","active","King William","POND 3","Surface Water Intake","0","","0","0","0","0","0"
"W A White Jr","70364","FROG HOLLOW SOD FARM INC(FROG HOLLOW SOD FARM INC)","FROG HOLLOW SOD FARM INC","active","King William","POND 2","Surface Water Intake","0","","0","0","0","0","0"
"W A White Jr","70364","FROG HOLLOW SOD FARM INC(FROG HOLLOW SOD FARM INC)","FROG HOLLOW SOD FARM INC","active","King William","COURTHOUSE CREEK","Surface Water Intake","0","","1","187.335","0","0","49.956"
"W A White Jr","70364","FROG HOLLOW SOD FARM INC(FROG HOLLOW SOD FARM INC)","FROG HOLLOW SOD FARM INC","active","King William","POND 1","Surface Water Intake","0","","0","0","0","0","0"
"Virginia, Commonwealth Of","68951","FRONT ROYAL FISH CULTURAL STA.(FRONT ROYAL FISH CULTURAL STA.)","FRONT ROYAL FISH CULTURAL STA.","active","Warren","PASSAGE CREEK","Surface Water Intake","0","","3","0","0","0","0"
"County Of Warren","90392","Front Royal Golf Club(Front Royal Golf Club (Irrigation))","Front Royal Golf Club","active","Warren","Crooked Run","Surface Water Intake","0","","0","0","0","0","0"
"Avtex Fibers, Inc","70001","FRONT ROYAL PLANT(FRONT ROYAL PLANT)","FRONT ROYAL PLANT","inactive","Warren","SOUTH FORK SHENANDOAH RIVER","Surface Water Intake","0","","0","8194.695","0","0","833.807"
"Front Royal, Town Of","163236","Town of Front Royal Water Treatment Plant","FRONT ROYAL WTP","active","Warren","S FORK SHENANDOAH RIVER","Surface Water Intake","2.5","VWUDS Form","0","507.89","0","0","55.304"
"Front Royal, Town Of","389016","Town of Front Royal Water Withdrawal System","FRONT ROYAL WTP","active","Warren","S FORK SHENANDOAH RIVER","Surface Water Intake","2.5","VWUDS Form","0","507.89","0","0","55.304"
"Front Royal, Town Of","163236","Town of Front Royal Water Treatment Plant","FRONT ROYAL WTP","active","Warren","SLOAN CREEK ","Surface Water Intake","0.22","VWUDS Form","0","127.813","0","0","12.307"
"Front Royal, Town Of","389016","Town of Front Royal Water Withdrawal System","FRONT ROYAL WTP","active","Warren","SLOAN CREEK ","Surface Water Intake","0.22","VWUDS Form","0","127.813","0","0","12.307"
"Front Royal, Town Of","163236","Town of Front Royal Water Treatment Plant","FRONT ROYAL WTP","active","Warren","HAPPY CREEK ","Surface Water Intake","0.22","VWUDS Form","0","85.188","0","0","8.184"
"Front Royal, Town Of","389016","Town of Front Royal Water Withdrawal System","FRONT ROYAL WTP","active","Warren","HAPPY CREEK ","Surface Water Intake","0.22","VWUDS Form","0","85.188","0","0","8.184"
"Fulton C Conner","70000","Surface Water Reporting - [no name]","FULTON C CONNER","inactive","Halifax","LONG BRANCH","Surface Water Intake","0","","0","0","0","0","0"
"Fulton C Conner","70000","Surface Water Reporting - [no name]","FULTON C CONNER","inactive","Halifax","POND ?????","Surface Water Intake","0","","0","0","0","0","0"
"Fulton C Conner","70000","Surface Water Reporting - [no name]","FULTON C CONNER","inactive","Halifax","BUCKSKIN CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Columbia Gas Transmission Corp","71340","GALA COMPRESSOR STATION(GALA COMPRESSOR STATION)","GALA COMPRESSOR STATION","inactive","Botetourt","MILL CREEK","Surface Water Intake","0","","0","217.2","0","0","34.512"
"","0","","Galax (Agriculture)","proposed","Galax","Galax (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Galax (Community Water System)","proposed","Galax","Galax (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Galax (Large Self-Supplied User)","proposed","Galax","Galax (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Galax, City Of","69788","GALAX WTP(GALAX)","GALAX WTP","active","Galax","CHESTNUT CREEK","Surface Water Intake","6","VWUDS Form","1","863.168","6.10","0","81.096"
"Galen L Wenger","70532","Surface Water Reporting - [no name]","GALEN L WENGER","active","Rockingham","COOKS CREEK","Surface Water Intake","0","","1","0","0","0","0"
"Garland E Flory","70880","Surface Water Reporting - [no name]","GARLAND E FLORY","active","Augusta","SPRING","Surface Water Intake","0","","2","0","0","0","0"
"Virginia, Commonwealth Of","68924","GARLAND GRAY FORESTRY CENTER(GARLAND GRAY FORESTRY CENTER)","GARLAND GRAY FORESTRY CENTER","active","Sussex","NOTTOWAY RIVER","Surface Water Intake","0","","5","19.589","0","0","4.83"
"Virginia, Commonwealth Of","68924","GARLAND GRAY FORESTRY CENTER(GARLAND GRAY FORESTRY CENTER)","GARLAND GRAY FORESTRY CENTER","active","Sussex","100 HP Electric Pump","Surface Water Intake","0","","0","0","0","0","0"
"Virginia, Commonwealth Of","68924","GARLAND GRAY FORESTRY CENTER(GARLAND GRAY FORESTRY CENTER)","GARLAND GRAY FORESTRY CENTER","active","Sussex","100 HP VFD Drive","Surface Water Intake","0","","0","0","0","0","0"
"Garrett Farms, Incorporated","69356","GARRETT FARMS INC","GARRETT FARMS INC","active","Roanoke County","ROANOKE RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Gary And Rhonda Guthrie","70179","Surface Water Reporting - [no name]","GARY AND RHONDA GUTHRIE","active","Halifax","FARM POND   #5862","Surface Water Intake","0","","5","0","0","0","0"
"Gary And Rhonda Guthrie","70179","Surface Water Reporting - [no name]","GARY AND RHONDA GUTHRIE","active","Halifax","FARM POND  #470","Surface Water Intake","0","","5","0","0","0","0"
"Gary And Rhonda Guthrie","70179","Surface Water Reporting - [no name]","GARY AND RHONDA GUTHRIE","active","Halifax","FARM POND  #7352","Surface Water Intake","0","","5","0","0","0","0"
"Gary Haislip","68967","Surface Water Reporting - [no name]","GARY HAISLIP","active","Franklin County","GUTHRIES CREEK","Surface Water Intake","0","","1","0","0","0","0"
"Gary Haislip","68967","Surface Water Reporting - [no name]","GARY HAISLIP","active","Franklin County","Guthrie's Branch","Surface Water Intake","0","","0","0","0","0","0"
"Gary W Mcdonald","69825","Surface Water Reporting - [no name]","GARY W MCDONALD","abandoned","Frederick","SPRING","Surface Water Intake","0","","0","0","0","0","0"
"Gate City, Town Of","69913","GATE CITY WTP(GATE CITY)","GATE CITY WTP","active","Scott","BIG MOCCASIN CREEK","Surface Water Intake","0.5","VWUDS Form","1","148.738","1.008","0","14"
"John R Ragsdale Jr","70081","GATEWOOD FARMS","GATEWOOD FARMS","inactive","Dinwiddie","FARM POND ????","Surface Water Intake","0","","5","0","0","0","0"
"","163199","Gathright Hydroelectric Project","Gathright Hydroelectric Project","","Alleghany","Gathright Hydroelectric Intake","Surface Water Intake","0","","0","0","0","0","0"
"Gayre Kelly","69813","Surface Water Reporting - [no name]","GAYRE KELLY","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"G E Milam","68626","Surface Water Reporting - [no name]","G E MILAM","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"General Shale Brick","70009","GENERAL SHALE BRICK PLT 37(SOMERSET PLANT)","GENERAL SHALE BRICK PLT 37","inactive","Orange","POND","Surface Water Intake","0","","0","6.9","0","0","0.72"
"Manassas Park City","90406","General's Ridge Golf Course(General's Ridge Golf Course (Irrigation))","General's Ridge Golf Course","inactive","Manassas Park","Holding Pond","Surface Water Intake","0","","0","0","0","0","0"
"Covenant Coal Corporation","69203","GENISIS PREP PLANT(GENISIS PREP PLANT)","GENISIS PREP PLANT","inactive","Tazewell","MIDDLE CREEK","Surface Water Intake","0","","0","12.99","0","0","2"
"Covenant Coal Corporation","69203","GENISIS PREP PLANT(GENISIS PREP PLANT)","GENISIS PREP PLANT","inactive","Tazewell","LONG HOLLOW IMP","Surface Water Intake","0","","0","9.77","0","0","0.98"
"George C(Corky) Holloway","69794","Surface Water Reporting - [no name]","GEORGE C(CORKY) HOLLOWAY","inactive","Greensville","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"George L Ridley","69277","Surface Water Reporting - [no name]","GEORGE L RIDLEY","inactive","Dinwiddie","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"George S Bennett Sr And Jr","69266","Surface Water Reporting - [no name]","GEORGE S BENNETT SR AND JR","inactive","Dinwiddie","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"George Shelton","69876","Surface Water Reporting - [no name]","GEORGE SHELTON","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"George Shelton","69876","Surface Water Reporting - [no name]","GEORGE SHELTON","inactive","Pittsylvania","??? CREEK","Surface Water Intake","0","","0","0","0","0","0"
"George T Bryant Jr","69809","Surface Water Reporting - [no name]","GEORGE T BRYANT JR","active","Patrick","TRIB TO THE DAN RIVER","Surface Water Intake","0","","0","0","0","0","0"
"George T Bryant Jr","69809","Surface Water Reporting - [no name]","GEORGE T BRYANT JR","active","Patrick","???? CREEK","Surface Water Intake","0","","2","0","0","0","0"
"George V Craddock","70759","Surface Water Reporting - [no name]","GEORGE V CRADDOCK","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"George W Fanson Iii","69436","Surface Water Reporting - [no name]","GEORGE W FANSON III","inactive","Halifax","POND ?????","Surface Water Intake","0","","0","0","0","0","0"
"GP Big Island, LLC","70283","GEORGIA-PACIFIC BIG ISLAND WTP(BIG ISLAND PLANT)","GEORGIA-PACIFIC BIG ISLAND WTP","active","Bedford County","JAMES RIVER","Surface Water Intake","40","VWUDS Form","1","5104.3","0","0","450.4"
"Gerald B Williams","69270","Surface Water Reporting - [no name]","GERALD B WILLIAMS","active","Franklin County","DITTERS FORK CREEK","Surface Water Intake","0","","5","0","0","0","0"
"Gerard B Rogerson","69267","Surface Water Reporting - [no name]","GERARD B ROGERSON","inactive","Dinwiddie","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Giles (Agriculture)","proposed","Giles","Giles (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Giles C Gregory","70996","Surface Water Reporting - [no name]","GILES C GREGORY","inactive","Pittsylvania","FARM POND???","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Giles (Community Water System)","proposed","Giles","Giles (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Giles County Psa","69914","GILES COUNTY PUBLIC SERVICE AUTHORITY(GILES COUNTY SERVICE AREA)","GILES COUNTY PUBLIC SERVICE AUTHORITY","active","Giles","New River Intake","Surface Water Intake","0","","0","0","0","0","0"
"Giles County Psa","163172","Giles County Public Service Authority WTP","GILES COUNTY PUBLIC SERVICE AUTHORITY","active","Giles","New River Intake","Surface Water Intake","0","","0","0","0","0","0"
"Giles County Psa","454755","Giles County Public Service Authority WTP","GILES COUNTY PUBLIC SERVICE AUTHORITY","active","Giles","New River Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Giles (Large Self-Supplied User)","proposed","Giles","Giles (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Taylor and Fulton Inc.","66575","Gillespe Farm","Gillespe Farm","active","Accomack","Pond","Surface Water Intake","0","","0","0","0","0","0"
"Nelson County Service Authority","70745","GLADSTONE SERVICE AREA(GLADSTONE SERVICE AREA)","GLADSTONE SERVICE AREA","active","Nelson","GLADSTONE SPRING","Surface Water Intake","0","","0","13.625","0","0","2.137"
"Glanvilla Farms, LLC","357018","Glanvilla Farms, LLC","Glanvilla Farms, LLC","active","King William","Mattaponi River","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Glasgow (Agriculture)","proposed","Rockbridge","Glasgow (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Glasgow (Community Water System)","proposed","Rockbridge","Glasgow (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Glasgow (Large Self-Supplied User)","proposed","Rockbridge","Glasgow (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Glen Adams","70748","Surface Water Reporting - [no name]","GLEN ADAMS","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Glendon Vaughn","70002","Surface Water Reporting - [no name]","GLENDON VAUGHN","inactive","Page","HAWKSBILL CREEK","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Glen Lyn (Agriculture)","proposed","Giles","Glen Lyn (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
