CREATEDORMIGRATEDTOEXISTING,VAHYDRO_HYDROID,VAHYDRO_NAME,VAHYDRO_ADDR1,VAHYDRO_CITY,CEDS_FAC_ID,CEDS_FAC_NAME,CEDS_FAC_M_ADDR1,CEDS_FAC_M_CITY,CEDS_FAC_L_ADDR1,CEDS_FAC_L_CITY,FACILITY_NAME_FORMATTING_ERROR,FACILITY_ADDRESS_FORMATTING_ERROR,OWS Staff Found CEDS Match (CEDS Facility ID),Updated VAHydro Facility Name/Address to Match,Comments
Created,67009,Dreamland Acres,22478 Lankford Highway,Accomack,,,,,,,,,,,
Created,66889,Drewryville,23019 Drewry Road,Drewryville,,,,,,,,,,,
Created,66968,Drummond Farm,Taylor and Fulton Farms Incorporated,Mappsville,,,,,,,,,,,
Created,66936,DuPont Hopewell Plant,PO Box 411,Hopewell,,,,,,,,,,,
Created,67392,Duer Home Farm,"Del Monte Fresh Production, Inc.",Bloxom,,,,,,,,"Address not properly formatted.",,,
Created,72246,"EAST COAST TRANSPORT, JAMES RIVER INTAKE ",2300 BRANCH ROAD,SCOTTSVILLE,,,,,,,Name has special characters.,,,,
Created,453779,EJP Farms,Johnson Road,Parsley,,,,,,,,,,,
Created,66868,Eagle Pointe Subdivision,,,,,,,,,,,,,
Created,398661,"Eagle, Birdie, Superior Farm",,,,,,,,,Name has special characters.,,,,
Created,410737,Eastern Middlesex County Regional Water System,TBD-source wells/pumping facility near,Saluda,,,,,,,,,,,
Created,441601,Eastern Shore Nursery,29465 Beacon Road,Melfa,,,,,,,,,,,
Migrated to Existing,67349,Eastern Shore Yacht and Country Club,14421 Country Club Road,Melfa,200000199278,Eastern Shore Yacht and Country Club,14421 Country Club Road,Melfa,14421 Country Club Road,Melfa,,,,,
Created,67180,Eastville Town of,PO Box 747,Eastville,,,,,,,,,,,
Created,67367,Ed Goin Farm,"Byrd Foods, Inc.",McLean,,,,,,,,"Address not properly formatted.",,,
Created,67348,Edgehill,33230 Edgehill Drive,Franklin,,,,,,,,,,,
Created,67343,Edgehill Farm,7483 Rosebud Lane,Cape Charles,,,,,,,,,,,
Created,67007,Edgewater Farm,26001 Edgewater Farm Lane,Cape Charles,,,,,,,,,,,
Created,232636,Edgewater Farm,26001 Edgewater Farm Lane,Accomack,,,,,,,,,,,
Created,398673,Elahi LLC,,,,,,,,,,,,,
Created,414882,Elite Farm,Bulgegger Rd and Jolly Neck Road,Bullbegger ,,,,,,,,,,,
Migrated to Existing,67267,Elizabeth Manor Golf and Country Club,1 Ace Parker Drive,Portsmouth,200000064962,Elizabeth Manor Golf And Country Club,1 Ace Parker Drive,Portsmouth,1 Club House Road,Portsmouth,,,,,
Created,67111,Elko Road,PO Box 27032,Richmond,,,,,,,,,,,
Created,450296,Elsinore Subdivision,,,,,,,,,,,,,
Created,90580,Endfield Nursery,1242 Minter lane,Walkerton,,,,,,,,,,,
Created,90596,Essex Concrete Corporation Tappahannock Facility,480 Airport Rd.,Tappahannock,,,,,,,,"Address not properly formatted.",,,
Created,90586,Essex Mobile Home Park,On King Street off of Airport Drive,Tappahannock,,,,,,,,,,,
Created,67036,Eubank Water System,PO Box 27032,Richmond,,,,,,,,,,,
Created,414879,Excel Farm,"Saxis Road, near Long Road",Saxis,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67356,Exmore Town of,PO Box 647,Exmore,200000065006,Exmore Town,PO Box 647,Exmore,,Exmore,,,,,
Created,72738,FAWN LAKE COUNTRY CLUB,11500 Baldy Ewell Way,Spotsylvania,,,,,,,,,,,
Created,392036,FCSA Opequon Intake-Jobe Property,124 Wood Drive,Frederick,,,,,,,,,,,
Created,439526,FPNA Farms Inc,5753 Neal Parker Rd,Withams,,,,,,,,,,,
Created,72449,FREDERICK COUNTY SANITATION AUTHORITY,PO BOX 1877,WINCHESTER,,,,,,,,,,,
Created,72834,FREDERICKSBURG WTP,PO BOX 7447,FREDERICKSBURG,,,,,,,,,,,
Created,67309,Fairview Beach (and Potomac Landing),End of Fairfew Drive (off of 218),Fairview Beach,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,401368,Fairystone Wildlife Management Area,,,,,,,,,,,,,
Created,421044,Falling Spring Hydroelectric Facility,5940 Falls Road,Falling Springs,,,,,,,,,,,
Created,67245,Farms of New Kent Golf Course Water System,,Talleysville,,,,,,,,,,,
Created,67023,Farms of New Kent Water System,,Tallysville,,,,,,,,,,,
Created,66859,Finneys Wharf Farm,,,,,,,,,,,,,
Migrated to Existing,67230,Fitchett,Cropperville,Accomac,200000198448,Fitchett,Cropperville,Accomac,,,,,,,
Created,67317,Five Lakes #1 Water System,Brook Blvd.,Quinton,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,66993,Five Lakes Subdivision,PO Box 50,New Kent,,,,,,,,,,,
Created,427965,Flannagan Hydroelectric Project,,,,,,,,,,,,,
Created,67014,Flouride Plant number 1,PO Box 737,Suffolk,,,,,,,,,,,
Created,72930,Fluvanna Correctional Center for Women,144 PRISON LANE,TROY,,,,,,,,,,,
Created,432286,Flying High Farm,4400 County Line Road,Cullen,,,,,,,,,,,
Created,67676,Folly Farms Subdivision,"E. of Onley, off Drummondtown Rd.",Accomack,,,,,,,,"Address not properly formatted.",,,
Created,594930,Fontainebleau Industrial Park Water System,Dunluce Road,King William,,,,,,,,,,,
Created,67182,Food Lion Industrial Water Supply,PO Box 68,Prince George,,,,,,,,,,,
Created,67435,Fords Colony Section XXXV - (Westport),,,,,,,,,Name has special characters.,,,,
Created,90592,Fort A. P. Hill Water System,,Bowling Green,,,,,,,Name has special characters.,,,,
Created,67283,Fort Eustis,ATZF EHE,Fort Eustis,,,,,,,,,,,
Created,67434,Fort Eustis Golf Course,ATZF EHE,Fort Eustis,,,,,,,,,,,
Created,67217,Fort Eustis Wells number 3 and number 4,ATZF EHE,Fort Eustis,,,,,,,,,,,
Created,450455,Foundation Seed Farm,,,,,,,,,,,,,
Created,67326,Four Corners Plaza,PO Box 680,Accomac,,,,,,,,,,,
Created,90584,Four winds Clubhouse and Campground,2350 Skinkers Neck Road,Rappahannock Academy,,,,,,,,,,,
Created,67409,Foxwells Community Water System,off Windmill Point Rd. E of White Stone,Lancaster,,,,,,,,"Address not properly formatted.",,,
Created,67195,Franklin Water System,1050 Pretlow Street,Franklin,,,,,,,,,,,
Created,441596,Fries Hydroelectric Project,616 W. Main Street,Fries,,,,,,,,"Address not properly formatted.",,,
Created,72813,GILES COUNTY PUBLIC SERVICE AUTHORITY,315 North Main st,PEARISBURG,,,,,,,,,,,
Created,72173,GLEN LYN POWER PLANT,1 RIVERSIDE PLAZA,COLUMBUS,,,,,,,,,,,
Created,74059,GLENMORE COUNTRY CLUB,1750 PIPER WAY,KESWICK,,,,,,,,,,,
Created,73573,GRETNA WTP,PO BOX 602,GRETNA,,,,,,,,,,,
Created,66925,Gardner Estates,PO Box 470,Hanover,,,,,,,,,,,
Created,427960,Gathright Hydroelectric Project,,Falling Spring,,,,,,,,,,,
Created,67065,Gatling Pointe Subdivision,PO Box 80,Isle of Wight,,,,,,,,,,,
Created,67062,Georgetown,PO Box 470,Hanover,,,,,,,,,,,
Migrated to Existing,67266,Gillespe Farm,PO Box 76,Mappsville,200000198635,Gillespe Farm,PO Box 76,Mappsville,,,,,,,
Created,67229,Gilmerton Plant,,,,,,,,,,,,,
Created,440147,Giuse Farm,17105 Pungoteague Rd,Keller,,,,,,,,,,,
Created,428216,"Glanvilla Farms, LLC",73 Poland Street,Montross,,,,,,,Name has special characters.,,,,
Created,67066,Glenwood Gardens,Gordon Lane,Richmond,,,,,,,,,,,
Created,90589,Glenwood Mobile Home Park,9730 Glenwood Drive,Spotsylvania,,,,,,,,,,,
Created,67688,Gloucester County Public Utilities,8214 Reservoir Ridge Road,Gloucester,,,,,,,,,,,
Created,66971,Golden Cat Division of Ralston Purina,931 Dunluce Rd,King William,,,,,,,,,,,
Created,73049,Gordonsville Power Station,819 HIll Rd,Gordonsville,,,,,,,,,,,
Created,67077,Goshen Farm,PO Box 680,Accomac,,,,,,,,,,,
Created,66960,Grapeland Farm,Kuzzens Inc.,Exmore,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67325,Greenbrier Farms Nursery,225 Sign Pine Road,Chesapeake,200000198499,Greenbrier Farms Nursery,201 Hickory Road West,Chesapeake,201 W Hickory Rd,Chesapeake,,,,,
Created,67080,Greendale Golf Course,6700 Telegraph Road,Alexandria,,,,,,,,,,,
Created,413260,Greene's Poultry Farm,Bethel Church Road,Hallwood,,,,,,,,,,,
Migrated to Existing,67681,Greenhost Incorporated,2259 Kings Highway,King George,200000078878,Greenhost Incorporated,2259 Kings Hwy,King George,2259 Kings Hwy,King George,,,,,
Created,480090,Greenmount Heritage LLC,4498 Greenmount Rd,Rockingham,,,,,,,,,,,
Migrated to Existing,67094,Greensprings Mobile Village,PO Box 3611,Williamsburg,200000198480,Greensprings Mobile Village,PO Box 3611,Williamsburg,,,,,,,
Created,67695,Grey's Point Campground,3601 Grey's Point Road,Topping,,,,,,,,,,,
Created,66922,Gunter Farm,PO Box 680,Accomac,,,,,,,,,,,
Created,67428,Guy Produce Farms,5599 Wardtown Road,Exmore,,,,,,,,,,,
Created,67092,Gwynnfield Subdivision,202 Bruce Rd.,Essex,,,,,,,,"Address not properly formatted.",,,
Created,452975,H&H Poultry Farm,364 Sherwood Drive,Hallwood,,,,,,,Name has special characters.,,,,
Created,73159,HARRISONBURG WTP,2155 BEERY ROAD,HARRISONBURG,,,,,,,,,,,
Created,72247,HENRICO COUNTY WTP & Service Area,10111 THREE CHOPT ROAD,Henrico,,,,,,,Name has special characters.,,,,
Created,72326,HOPEWELL PLANT,910 Industrial Street,HOPEWELL,,,,,,,,,,,
Migrated to Existing,67114,HP Beale and Sons Incorporated,16276 Ivor Road,Courtland,200000091149,H P Beale and Sons Incorporated,16276 Ivor Road,Courtland,16276 Ivor Road,Courtland,,,,,
Created,465929,HRSD - NANSEMOND SEWAGE TREATMENT PLANT,6909 ARMSTEAD RD,SUFFOLK,,,,,,,,,,,
Created,398665,HT Farm,3254 Davis Road,New Church,,,,,,,,,,,
Created,67361,Hagan Farm,PO Box 297,Mappsville,,,,,,,,,,,
Created,410320,Haile Farm,3189 Grandview Drive,Dunnsville,,,,,,,,,,,
Created,410846,Hammock Farms,5684 Museville Rd ,Chatham,,,,,,,,,,,
Created,67225,Hanger 500,9742 Maryland Avenue,Norfolk,,,,,,,,,,,
Created,66924,Hanover Courthouse,PO Box 470,Hanover,,,,,,,,,,,
Created,67406,Hanover Farms,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Migrated to Existing,67412,Hanover Learning Center,PO Box 507,Hanover,200000073323,Hanover Learning Center,PO Box 507,Hanover,7093 Broad Neck Rd,Hanover,,,,,
Migrated to Existing,66898,Hanover Urban Water System,PO Box 470,Hanover,200000198403,Hanover Urban Water System,PO Box 470,Hanover,,,,,,,
Created,428214,Hawks Nest Golf Course,1801 Penniman Road,williamsburg,,,,,,,,,,,
Created,67303,Haynesville Correctional Center,650 Barn Field Road,Haynesville,,,,,,,,,,,
Created,66949,Heathsville Public Water System,"Heathesville, Town of",Heathsville,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67142,Hells Point Golf Club,2700 Atwoodtown Road,Virginia Beach,200000065485,Hells Point Golf Club,2700 Atwoodtown Road,Virginia Beach,2700 Atwoodtown Road,Virginia Beach,,,,,
Migrated to Existing,67368,Henely Farm,3513 Charity Neck Road,Virginia Beach,200000198495,Henely Farm,3513 Charity Neck Road,Virginia Beach,,,,,,,
Created,410387,Heritage Estates,,,,,,,,,,,,,
Created,67441,Heritage Hall Nursing Home,10051 Foxes Way,King George,,,,,,,,,,,
Created,67355,Heritage Point Water Works,P.O. Box 46,Mollusk,,,,,,,,"Address not properly formatted.",,,
Created,67221,Hermitage Farms Nursery,7483 Mason Farm Road,Franktown,,,,,,,,,,,
Migrated to Existing,67139,Heron Ridge Golf Club,700 Pavillion Center,Virginia Beach,200000065500,Heron Ridge Golf Club,700 Pavillion Center,Virginia Beach,700 Pavillion Center,Virginia Beach,,,,,
Created,67126,Hickory Hill,P.O. Box 1117,Parksley,,,,,,,,"Address not properly formatted.",,,
Created,67158,High Point Farms,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Created,66939,Highway Farm,,,,,,,,,,,,,
Created,435975,Hobbs Hole Golf Course,1267 Hobbs Hole Drive,Tappahannock,,,,,,,,,,,
Created,66912,Hogneck Farm,PO Box 297,Mappsville,,,,,,,,,,,
Created,182662,Holdcraft Harbor,8920 Wilcox Neck Road,Charles city,,,,,,,,,,,
Created,441982,Holden Creek Gun Club,26069 SAxis Road,Sanford,,,,,,,,,,,
Created,66928,Holiday Inn Express,PO Box 1570,Petersburg,,,,,,,,,,,
Created,398685,"Holland Homestead, Backwoods, & Horsey Poultry Farms",30286 Farlow Rd.,New Church,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,67284,Holland Water System,PO Box 404,Smithfield,,,,,,,,,,,
Migrated to Existing,66862,Holly Grove Farm,PO Box 266,Nassawadox,200000198555,Holly Grove Farm,PO Box 266,Nassawadox,,,,,,,
Created,66866,Holly Ridge,PO Box 27186,Richmond,,,,,,,,,,,
Created,67281,Holts Neck Farm,Yaros Farms Incorporated,Exmore,,,,,,,,,,,
Migrated to Existing,67453,Home Farm,28524 Phillips Drive,Melfa,200000198479,Home Farm,28524 Phillips Drive,Melfa,,,,,,,
Created,67081,Home Farm & Fitchett Farm,28524 Phillips Dr,Melfa,,,,,,,Name has special characters.,,,,
Created,67305,Hopyard Farms CWS,See comments.,King Geroge,,,,,,,,"Address not properly formatted.",,,
Created,67440,Horizon Hotels Water System,South Crater Road,Petersburg,,,,,,,,,,,
Migrated to Existing,67386,Horseshoe Woods and Brewers Point,4317 Bonney Road,Virginia Beach,200000198461,Horseshoe Woods and Brewers Point,4317 Bonney Road,Virginia Beach,,,,,,,
Migrated to Existing,66978,Hughes Farm,PO Box 1240,Waverly,200000198582,Hughes Farm,PO Box 1240,Waverly,,,,,,,
Created,428126,Hupman water withdrawal-Miracle Ridge Quarry,883 Whites Run Road,Monterey,,,,,,,,,,,
Migrated to Existing,67449,I 95 Rest Area Prince George,1201 East Broad Street,Richmond,200000198658,I 95 Rest Area Prince George,1201 E Broad St,Richmond,,,,,,,
Created,67001,INGENCO Charles City Peaking Facility,7960 Chambers Rd,Providence,,,,,,,,,,,
Created,72612,INGLESIDE PLANTATION and LIBERTY FARM,5870 LEEDSTOWN ROAD,OAK GROVE,,,,,,,,,,,
Created,74076,Independence Golf Club,600 Founders Bridge Blvd,Midlothian,,,,,,,,"Address not properly formatted.",,,
Created,67347,Indian Creek Estates Public Water System,Near Byrdton & Ind Creek Yacht & Country Club,Kilmarnock,,,,,,,,,,,
Created,74363,Indian Creek Yacht and Country Club,20 Seminole Drive,Kilmarnock,,,,,,,,,,,
Created,67450,Indian River Water Company,4315A,Chesapeake,,,,,,,,,,,
Created,67313,Information Center,PO Box 1776,Williamsburg,,,,,,,,,,,
Created,67278,Integrated Fisheries International Limited,P.O. Box 38,Mappsville,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67380,International Paper Franklin Mill,34040 Union Camp Drive,Franklin,200000087489,International Paper - Franklin Mill,34040 Union Camp Dr,Franklin,34040 Union Camp Dr,Franklin,,,,,
Created,67063,Irvington,King Carter Drive Rt. 200,Irvington,,,,,,,,"Address not properly formatted.",,,
Created,393295,Ish Farm,30414 Nocks Landing Rd,Oak Hall,,,,,,,,,,,
Created,594773,Ish Farm (Breeder Farm),(TBD) Nocks Landing Road,Oak Hill,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,66966,"J H Miles and Company, Inc.",PO Box 178,Norfolk,,,,,,,Name has special characters.,,,,
Migrated to Existing,432289,J-Mar Farm,3921 County Line Road,Cullen,200000857153,J-Mar Farm,3921 County Line Rd,Cullen,3921 County Line Rd,Cullen,,,,,
Created,71810,JAMES RIVER CORR. CNTR WTP,JAMES RIVER CORRECTIONS,STATE FARM,,,,,,,Name has special characters.,,,,
Created,71812,JARRATT WTP,1781 GREENSVILLE CNTY CIR,EMPORIA,,,,,,,,,,,
Migrated to Existing,66972,JCSA - Central System,PO Box JC,Williamsburg,200000198516,JCSA - Central System,PO Box JC,Williamsburg,,,,,,,
Created,67345,JCSA -First Colony,PO Box JC,Williamsburg,,,,,,,,,,,
Migrated to Existing,66864,JCSA -Glenwood Acres Subdivision W 30,PO Box JC,Williamsburg,200000198520,JCSA - Glenwood Acres Subdivision W 30,PO Box JC,Williamsburg,,,,,,,
Migrated to Existing,66945,JCSA -Governors Land,PO Box JC,Williamsburg,200000198526,JCSA - Governors Land,PO Box JC,Williamsburg,,,,,,,
Migrated to Existing,66879,JCSA -Indigo Park White Oaks,PO Box JC,Williamsburg,200000198517,JCSA - Indigo Park White Oaks,PO Box JC,Williamsburg,,,,,,,
Migrated to Existing,67411,JCSA -Kings Village Subdivision W 31,PO Box JC,Williamsburg,200000198521,JCSA - Kings Village Subdivision W 31,PO Box JC,Williamsburg,,,,,,,
Migrated to Existing,67226,JCSA -Old Stage Manor,PO Box JC,Williamsburg,200000198518,JCSA - Old Stage Manor,PO Box JC,Williamsburg,,,,,,,
Migrated to Existing,67429,JCSA -Racefield Subdivision W 29,PO Box JC,Williamsburg,200000198519,JCSA - Racefield Subdivision W 29,PO Box JC,Williamsburg,,,,,,,
Migrated to Existing,66896,JCSA -Stonehouse W 25  W 26,PO Box JC,Williamsburg,200000198524,JCSA - Stonehouse W 25  W 26,PO Box JC,Williamsburg,,,,,,,
Created,67425,JCSA -The Retreat,9061 Barnes Road,Toano,,,,,,,,,,,
Migrated to Existing,66975,JCSA -Upper County Park W 35,PO Box JC,Williamsburg,200000198522,JCSA - Upper County Park W 35,PO Box JC,Williamsburg,,,,,,,
Migrated to Existing,67061,JCSA -Ware Creek Manor Number 1 and 2  W 36,PO Box JC,Williamsburg,200000198523,JCSA - Ware Creek Manor Number 1 and 2  W 36,PO Box JC,Williamsburg,,,,,,,
Created,66965,JCSA -Wexford Hills Subdivision,PO Box JC,Williamsburg,,,,,,,,,,,
Created,378964,JCSA Chickahominy Riverfront Park Facility,1350 John Tyler Highway,Williamsburg,,,,,,,,,,,
Created,67308,James Farm,PO Box 680,Accomac,,,,,,,,,,,
Migrated to Existing,67069,James River Country Club,1500 Country Club Road,Newport News,200000065683,James River Country Club,1500 Country Club Road,Newport News,1500 Country Club Road,Newport News,,,,,
Created,398105,James River Water Supply Project,,,,,,,,,,,,,
Created,401367,James River Wildlife Management Area,,,,,,,,,,,,,
Created,67427,James Wharf Farm,PO Box 141,Exmore,,,,,,,,,,,
Migrated to Existing,476574,Jefferson Mill Hydroelectric Project,724 Jefferson Mill Road,Scottsville,200000893322,Jefferson Mill Hydroelectric Project,18 Hook Mountain Road,Pine Brook,711 Jefferson Mill Lane,Scottsville,,,,,
Created,427966,Jewell Smokeless Coal Crp-Jewell Prep Plant No3 WW,P.O. Box 70,Vansant,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67260,John S Salmons and Son,2476 South Stowie Road,Virginia Beach,200000198528,John S Salmons and Son,2476 South Stowie Road,Virginia Beach,,,,,,,
Created,415669,Johnathan Farm,,,,,,,,,,,,,
Created,67238,Jones 2 Farm,3769 Grapeland Circle,Exmore,,,,,,,,,,,
Created,67416,Jones 3 Farm,Bayford Road,,,,,,,,,,,,
Created,74357,Jones Farm 1,3769 Grapeland Circle,Exmore,,,,,,,,,,,
Migrated to Existing,67088,Jordan on the James,PO Box 68,Prince George,200000199523,Jordan on the James,PO Box 68,Prince George,,,,,,,
Created,414909,"Justice Poultry Farm, Inc.",6622 Holland Road,New Church,,,,,,,Name has special characters.,,,,
Migrated to Existing,67118,KMC Foods Incorporated,PO Box 158,Cheriton,200000091285,KMC Foods Incorporated,PO Box 158,Cheriton,Railroad Ave,Cheriton,,,,,
Migrated to Existing,66883,KMX Chemical Corporation,30474 Energy Drive,New Church,200000087458,KMX Chemical Corporation,PO Box 280,New Church,30474 Energy Drive,New Church,,,,,
Created,67038,Kellam (Eastville) Farm,Old Town Neck Dr.,Eastville,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,67437,Kelley Farm,32193 Winery Way,Lewes,,,,,,,,,,,
Created,67137,Kempsville Greens Golf Course,Municipal Center - Bldg 21,Virginia Beach,,,,,,,,"Address not properly formatted.",,,
Created,67147,Kenwood Farms,PO Box 50,New Kent,,,,,,,,,,,
Created,67128,Kilby Shores,213 Battery Park Road,Smithfield,,,,,,,,,,,
Created,66892,Kilmer's Point,Rt. 676,Urbanna,,,,,,,,"Address not properly formatted.",,,
Created,67364,King William County - Central Garage Water System,Route 30 at Route 360,King William,,,,,,,,,,,
Created,192313,King and Queen Landfill Gas to Energy Facility,4445 Iris Road,Little Plymouth,,,,,,,,,,,
Created,67057,Kings Point -number 1,PO Box 737,Suffolk,,,,,,,,,,,
Created,67106,Kings Point -number 2,PO Box 737,Suffolk,,,,,,,,,,,
Migrated to Existing,67366,Kingsmill Resort,100 Kingsmill Road,Williamsburg,200000871394,Kingsmill Resort,,,1010 Kingsmill Rd,Williamsburg,,,,,
Created,67103,Kinsale,Brook Avenue and Kinsale Road,Kinsale,,,,,,,,,,,
Created,67021,Kiptopeke State Park,3540 Kiptopeke Drive,Cape Charles,,,,,,,,,,,
Migrated to Existing,67179,Kluis Nurseries,Route 178 PO Box 428,Onancock,200000198426,Kluis Nurseries,Route 178 PO Box 428,Onancock,,,,,,,
Created,67324,Kuzzens KMC Camp,20508 Pat Town Road,Cheriton,,,,,,,,,,,
Created,441036,Kylie Farm,21622 Fair Oaks Rd,Melfa,,,,,,,,,,,
Created,71762,LAKE CAROLINE,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Created,72634,LAKE MONTICELLO WTP,1 Running Water Way,PALMYRA,,,,,,,,,,,
Created,72532,LITTLE CREEK RESERVOIR,700 TOWN CENTER DRIVE,NEWPORT NEWS,,,,,,,,,,,
Created,71687,LOVINGSTON SERVICE AREA,PO BOX 249,LOVINGSTON,,,,,,,,,,,
Created,72975,LUKE PREPARATION PLANT,PO BOX 196,Hurley,,,,,,,,,,,
Created,67337,Lake Kilby Water Treatment Facility,105 Maury Place,Suffolk,,,,,,,,,,,
Created,72077,Lake Mooney WTP,PO Box 339,Stafford,,,,,,,,,,,
Created,67341,"Lake Packing Company, Inc.- Processing",755 Lake Landing Dr.,Lottsburg,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,67244,Lake Prince Meadow -number 2,PO Box 737,Suffolk,,,,,,,,,,,
Created,67401,Lake Prince Meadows -number 1,PO Box 737,Suffolk,,,,,,,,,,,
Created,67336,Lake Speight -number 1,PO Box 737,Suffolk,,,,,,,,,,,
Created,67377,Lake Speight -number 2,PO Box 737,Suffolk,,,,,,,,,,,
Migrated to Existing,66894,Lake Wright Resort and Golf Course,6280 Northampton Boulevard,Norfolk,200000198554,Lake Wright Resort and Golf Course,6280 Northampton Boulevard,Norfolk,6280 Northampton Boulevard,Norfolk,,,,,
Created,73200,Lakeside Park Club (Formerly Jefferson Lakeside),1700 LAKESIDE AVENUE,RICHMOND,,,,,,,Name has special characters.,,,,
Migrated to Existing,67258,Lamberts Point Coal Piers,Lamberts Point Terminal,Norfolk,200000198418,Lamberts Point Coal Piers,Lamberts Point Terminal,Norfolk,,,,,,,
Created,67424,Lancaster Courthouse,Courthouse Road & Mary Ball Road,Lancaster,,,,,,,,,,,
Migrated to Existing,67291,Lancaster Farms Incorporated,5800 Knotts Neck Road,Suffolk,200000065868,Lancaster Farms Incorporated,5800 Knotts Neck Rd,Suffolk,5800 Knotts Neck Rd,Suffolk,,,,,
Created,66851,Lang Farm,"Byrd Foods, Inc.",McLean,,,,,,,,"Address not properly formatted.",,,
Created,398698,Last Hurrah Farm,31154 Horntown Rd,New Church,,,,,,,,,,,
Created,71645,Laurel Hill Golf Club,8701 Laurel Crest Drive,Lorton,,,,,,,,,,,
Created,67346,Laurel Point Subdivision,854 Laurel Point Road,Lancaster,,,,,,,,,,,
Created,450366,Laurel Wood Estates,10558 Kings Highway,King George,,,,,,,,,,,
Created,415104,Lavelle Poultry Farm,,,,,,,,,,,,,
Created,66895,Lawnes Point,Ft. Huger Drive,Rushmere,,,,,,,,"Address not properly formatted.",,,
Created,191200,Legacy Park Subdivision,6504 Pole Green Road,Mechanicsville,,,,,,,,,,,
Created,73939,Lemon Farm,P.O. Box 13366,Roanoke,,,,,,,,"Address not properly formatted.",,,
Created,415609,Levi's Farm,,,,,,,,,,,,,
Created,67339,Lewis Farm,"Byrd Foods of Virginia, Inc",Parksley,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67360,Liberty Hall Farm,3309 Broadwater Road,Exmore,200000198497,Liberty Hall Farm,3309 Broadwater Road,Exmore,,,,,,,
Created,67296,Liberty Ridge Subdivision,Centerville Road,James City County,,,,,,,,,,,
Migrated to Existing,66891,Lightfoot Water Supply System,PO Box 532,Yorktown,200000065960,Lightfoot Water Supply System,Department Environmental Services,Yorktown,Department Environmental Services,Yorktown,,,,,
Created,67277,Lively Public Water System,X of Mary Ball Rd. & White Chapel Rd.,Lively,,,,,,,,"Address not properly formatted.",,,
Created,67389,Locksley Hall Estates,St. Rts. 1301+1302 off Rt. 360,Burgess,,,,,,,,"Address not properly formatted.",,,
Created,415093,Log Cabin Farm,,,,,,,,,,,,,
Migrated to Existing,67357,Long Farm,25222 Lankford Highway,Cape Charles,200000198637,Long Farm,25222 Lankford Highway,Cape Charles,,,,,,,
Created,67073,Lottsburg Public Water System,On Northumberland Hwy by Walmsley rd &Lake rd,Lottsburg,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67108,Lumber Hall Farm,PO Box 649,Exmore,200000198631,Lumber Hall Farm,PO Box 649,Exmore,,Nassawadox,,,,,
Created,67418,Luttrellville Water System,Rt. 616 .5 mile South of Rt 600,Callao,,,,,,,,"Address not properly formatted.",,,
Created,415601,Luu Farm,30243 Farlow Road,New Church,,,,,,,,,,,
Created,90432,MAGNOLIA GREEN GOLF CLUB,17301 Memorial Tournament Dr,Moseley,,,,,,,,,,,
Created,71739,MARROWBONE/220-S SERVICE AREA,3300 KINGS MOUNTAIN RD,COLLINSVILLE,,,,,,,Name has special characters.,,,,
Created,73042,MECKLENBURG POWER STATION,5000 Dominion Boulevard,Glen Allen,,,,,,,,,,,
Created,71931,MOTTS RUN WTP,600 HUDGINS ROAD,FREDERICKSBURG,,,,,,,,,,,
Created,67098,Machipongo Farm,Kuzzens Inc,Exmore,,,,,,,,,,,
Migrated to Existing,67222,Magruder Heights W 41,PO Box JC,Williamsburg,200000198525,Magruder Heights W 41,PO Box JC,Williamsburg,,,,,,,
Created,67105,Mallard Bay Public Water System,Off Canvasback  Ln near Mallard Bay dr,Northumberland,,,,,,,,,,,
Created,66999,Maple Hills Water System,PO Box 404,Smithfield,,,,,,,,,,,
Created,67332,Mappsville Facility & Labor Housing,15141 Finney Mason Road,Mappsville,,,,,,,Name has special characters.,,,,
Created,67415,Mappsville North Complex,"Kuzzens, Inc.",Exmore,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,66946,Marshall Johnson,"Kuzzens, Inc",Exmore,200000198533,Marshall Johnson,3769 Grapeland Circle,Exmore,,,,"Address not properly formatted.",,,
Created,67003,Marshall-Johnson-Grapeland Complex,"Kuzzens, Inc.",Exmore,,,,,,,,"Address not properly formatted.",,,
Created,67190,Marshall/Johnson Farm,Kuzzens Inc,Exmore,,,,,,,Name has special characters.,,,,
Created,67683,Maryfield,205 Lawrence Place,Essex,,,,,,,,,,,
Created,398681,Mason Farm,31040 Seaside Road,Keller,,,,,,,,,,,
